piece1,piece2,exactotc_cost,entropicotc_cost
bach-book1-fugue10-eminor,sor-op32-no3-dmajor,0.0392472720093926,0.0401220818022448
bach-book1-fugue10-eminor,sor-op35-no1-cmajor,0.0366249848488096,0.0370241821594259
bach-book1-fugue10-eminor,sor-op35-no2-cmajor,0.0345982268841896,0.0360443118358694
bach-book1-fugue10-eminor,sor-op60-no1-cmajor,0.0413180177329583,0.0420580993335026
bach-book1-fugue14-fsharpminor,bach-book1-fugue24-bminor,0.0384173446281187,0.0431083718693348
bach-book1-fugue14-fsharpminor,bach-book1-prelude01-cmajor,0.0455762409522047,0.0467553241897644
bach-book1-fugue14-fsharpminor,bach-book1-prelude02-cminor,0.0296562146370214,0.030520075300311
bach-book1-fugue14-fsharpminor,bach-book1-prelude03-csharpmajor,0.0377010373677751,0.039418158008994
bach-book1-fugue14-fsharpminor,bach-book1-prelude06-dminor,0.0345483119635591,0.0352939676208605
bach-book1-fugue14-fsharpminor,bach-book1-prelude14-fsharpminor,0.00351577471115199,0.00409767726946321
bach-book1-fugue14-fsharpminor,bach-book1-prelude24-bminor,0.0100269471991671,0.0110946432754204
bach-book1-fugue14-fsharpminor,bach-book2-fugue02-cminor,0.0394258798936706,0.0400663895973882
bach-book1-fugue14-fsharpminor,bach-book2-fugue07-dsharpmajor,0.0342346877106494,0.0352008458045494
bach-book1-fugue14-fsharpminor,bach-book2-prelude02-cminor,0.0306045131222678,0.0312496543069975
bach-book1-fugue14-fsharpminor,bach-book2-prelude07-dsharpmajor,0.0399410848611075,0.0407086115024439
bach-book1-fugue14-fsharpminor,bach-book2-prelude12-fminor,0.0335821180777867,0.0342634780610665
bach-book1-fugue14-fsharpminor,bach-bourree-in-e-minor-piano-eminor,0.0286152733502803,0.0294180510757497
bach-book1-fugue14-fsharpminor,bach-invention2part-no13-aminor,0.0312247000646818,0.0318205804648692
bach-book1-fugue14-fsharpminor,bach-invention2part-no4-dminor,0.0349794712956238,0.0358886788059377
bach-book1-fugue14-fsharpminor,bach-prelude-in-cm-piano-cmajor,0.0397068783782871,0.0404424798202483
bach-book1-fugue14-fsharpminor,beethoven-fur-elise-aminor,0.0338327664782702,0.0346909976747662
bach-book1-fugue14-fsharpminor,beethoven-minuet-in-G-gmajor,0.0343363546889758,0.0353612418924734
bach-book1-fugue14-fsharpminor,beethoven-moonlight-movement1-csharpminor,0.0201404345817975,0.0208124968980509
bach-book1-fugue14-fsharpminor,beethoven-piano-sonata-pathetique-2-cminor,0.0368651781910384,0.0376896281074601
bach-book1-fugue14-fsharpminor,beethoven-symphony7-2-liszt-piano-aminor,0.0224309422893667,0.0240604078951524
bach-book1-fugue14-fsharpminor,beethoven-symphony9-4-ode-to-joy-piano-solo-dminor,0.0414091657760536,0.0424096209562782
bach-book1-fugue14-fsharpminor,beethoven-violin-sonata1-1-piano-fminor,0.00875584352295133,0.00971031739301871
bach-book1-fugue14-fsharpminor,chopin-Waltz-op64-no2-csharpminor,0.0601498464700468,0.0609686588754545
bach-book1-fugue14-fsharpminor,chopin-etude-op10-no4-csharpminor,0,0
